Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House
Half-blood,2.0,5.0,7.0,6.0,3.0,3.0,6.0,2.0,Hufflepuff
,,,9.0,,,,,,
Muggle-born,40.362279175661094,11.745320245763855,33.774245266559284,2.2234134147495905,0.0,40.2091697885308,33.885851697973756,21.582672095271857,Gryffindor
Pure-blood,3.0,6.0,9.0,4.0,1.0,4.0,1.0,7.0,Hufflepuff
Muggle-born,3.0,1.0,10.0,2.0,5.0,3.0,6.0,7.0,Hufflepuff
Muggle-born,6.0,1.0,7.0,5.0,5.0,4.0,3.0,1.0,Hufflepuff
,,,,,,,,,
Pure-blood,6.356956072651957,2.7332165477891275,30.03917560634025,13.969436455346525,33.63909116316219,0.8617295739380975,0.18355611650965975,58.85234641331038,Ravenclaw
Half-blood,32.312852544997924,9.019199197440743,77.97757351087151,62.34191861798792,2.8189963286641633,4.661107641432738,32.93825445883113,33.633914323750375,Hufflepuff
Half-blood,18.391092386430984,3.9206762926039858,3.248895415605336,84.66230436192859,74.53050290617813,48.65185055623467,16.389441453475783,19.606966122768934,Slytherin
Muggle-born,1.0,7.0,6.0,10.0,9.0,6.0,10.0,2.0,Slytherin
Muggle-born,2.0,5.0,7.0,3.0,0.0,0.0,4.0,6.0,Hufflepuff
Muggle-born,8.0,4.0,6.0,5.0,1.0,6.0,10.0,7.0,Gryffindor
,,,,,,,,,
,,,,,,,2.0,,
,6.0,,5.0,1.0,,7.0,1.0,9.0,
Pure-blood,49.621484086864015,14.67525093241979,29.991027277636718,13.056745220470999,31.07167845703868,31.360235939659045,50.75721228935257,3.5061076876693313,Hufflepuff
,,,,,,,,,
,,,,,,,,,
Muggle-born,5.0,9.0,6.0,6.0,0.0,5.0,4.0,9.0,Ravenclaw
Half-blood,5.0,3.0,1.0,7.0,9.0,5.0,10.0,3.0,Slytherin
Pure-blood,10.0,7.0,4.0,4.0,2.0,7.0,9.0,1.0,Gryffindor
,,,,,,,,,
Half-blood,3.0,8.0,1.0,4.0,1.0,0.0,5.0,9.0,Ravenclaw
Half-blood,2.243916310295927,22.76859365868428,47.31377819171295,13.789654443820114,36.365492380142484,56.31056435327623,3.3459405278023353,47.30859524300984,Ravenclaw
Half-blood,13.847364868701536,64.62365112531305,53.89547116677614,35.86012939636063,3.0247391257214034,17.371270958153215,5.501902189489868,23.83463389124129,Hufflepuff
Pure-blood,5.0,8.0,2.0,1.0,2.0,6.0,2.0,7.0,Ravenclaw
,,,,,,,,,
,,,,,2.0,,10.0,,
Pure-blood,70.10708639514537,4.419117468392004,11.37609685549839,3.544430621768224,0.0,9.858102892496266,65.12938015808226,3.38423065847969,Gryffindor
,,,,,,,,,
Pure-blood,7.246584351252083,33.796235716114246,67.89770803286031,9.028062265683424,6.857423147870902,59.22715833690873,24.906993483093967,46.39465796448499,Ravenclaw
Half-blood,1.0,4.0,10.0,3.0,3.0,0.0,4.0,1.0,Hufflepuff
Half-blood,20.54896308358473,10.105203630139869,8.991831175847288,20.437926802997772,44.964723187481844,59.29964673556006,46.22659583471271,26.57727580338061,Slytherin
Muggle-born,4.0,7.0,7.0,2.0,0.0,3.0,4.0,7.0,Ravenclaw
Pure-blood,3.0,4.0,3.0,10.0,10.0,9.0,8.0,5.0,Slytherin
,,9.0,6.0,1.0,0.0,,4.0,,Ravenclaw
Pure-blood,10.0,1.0,6.0,4.0,5.0,9.0,8.0,5.0,Gryffindor
Pure-blood,2.0,2.0,10.0,5.0,5.0,2.0,7.0,1.0,Hufflepuff
,,,,,,,,,
Half-blood,11.837905560310968,45.62576410954746,39.8025488205068,15.071503659538706,1.8716733616094468,3.70319982929404,9.389054936980617,19.26635681545099,Hufflepuff
Half-blood,,7.0,,,7.0,,,3.0,Slytherin
Pure-blood,6.0,9.0,1.0,5.0,1.0,3.0,3.0,8.0,Ravenclaw
Muggle-born,4.0,,7.0,6.0,1.0,,1.0,,
Pure-blood,,,,,,7.0,,3.0,Slytherin
Pure-blood,7.0,10.0,4.0,3.0,4.0,2.0,2.0,9.0,Ravenclaw
Muggle-born,8.778911268303823,9.334369087849556,76.69953672397482,52.2902153880315,7.310523359950985,23.961116510558547,27.553594870540834,43.58025049354636,Hufflepuff
,,,,,,,,6.0,
Pure-blood,,,,,,,9.0,,
,,,,,,,,,
,7.0,,,,,,8.0,,
Pure-blood,10.0,2.0,7.0,1.0,0.0,9.0,9.0,3.0,Gryffindor
Half-blood,2.0,10.0,4.0,1.0,3.0,1.0,7.0,9.0,Ravenclaw
,,,,,,,,,
Muggle-born,8.0,1.0,5.0,4.0,0.0,6.0,8.0,5.0,Gryffindor
Pure-blood,5.0,5.0,1.0,10.0,9.0,7.0,10.0,1.0,Slytherin
Pure-blood,7.0,6.0,9.0,6.0,5.0,1.0,4.0,4.0,Hufflepuff
,,,5.0,,,,,1.0,
Pure-blood,9.0,7.0,4.0,1.0,0.0,8.0,8.0,1.0,Gryffindor
Muggle-born,1.0,8.0,6.0,2.0,2.0,2.0,1.0,10.0,Ravenclaw
Pure-blood,3.0,1.0,8.0,6.0,4.0,3.0,7.0,3.0,Hufflepuff
Half-blood,,,6.0,,,8.0,,,
Half-blood,3.504442314837903,8.555866783850933,40.693423557206124,4.6993551545385905,0.0,30.263089978916998,5.226811133600875,22.63958203466377,Hufflepuff
,,,,,,,,,
,,,,,,,,,
Muggle-born,1.0,9.0,6.0,4.0,4.0,1.0,2.0,7.0,Ravenclaw
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pure-blood,7.0,1.0,5.0,7.0,9.0,5.0,9.0,2.0,Slytherin
Muggle-born,17.181231035027423,0.5113286651027291,48.421647383605645,54.12769163566666,55.79452548920348,36.99795808361923,30.959695820707932,36.98502706023572,Slytherin
Pure-blood,57.37932701045023,27.44253930965433,45.41812587635862,5.284855101811151,9.378770794805781,0.0,65.91660886405492,53.017790253013374,Hufflepuff
Muggle-born,25.663296384471007,14.264357054069928,68.99721030468702,47.367247266058314,0.0,26.93831554343622,17.58700019776122,44.888694977444096,Hufflepuff
,,,,,,,,,
Half-blood,65.5405954198716,3.0340029703574514,9.97150533746694,20.928100080216634,81.00143396774202,31.53433096182097,13.98558719477976,27.183053513969938,Slytherin
Muggle-born,6.0,10.0,7.0,5.0,1.0,0.0,6.0,9.0,Ravenclaw
Muggle-born,1.0,6.0,7.0,4.0,5.0,1.0,3.0,7.0,Hufflepuff
,,,,,,,,,
Half-blood,8.398169647356598,44.35552336623596,22.52387270686785,7.06839139296755,29.273274618268502,26.13879321490992,10.835488573642879,15.661875229453514,Ravenclaw
Pure-blood,15.790392171544514,12.16761202602466,61.61895792527431,28.54047096490398,7.529998946604616,6.207641962948429,30.70787058335174,37.387855383124396,Hufflepuff
Pure-blood,12.53612593119409,25.38784384171152,9.449326723584239,86.66447722733096,22.13674437253518,19.809171652163922,47.18570849062877,7.442893028930113,Slytherin
Half-blood,7.0,6.0,9.0,7.0,3.0,2.0,7.0,5.0,Hufflepuff
Muggle-born,5.0,6.0,9.0,1.0,5.0,4.0,3.0,2.0,Hufflepuff
Pure-blood,2.0,5.0,9.0,6.0,0.0,7.0,6.0,7.0,Hufflepuff
Muggle-born,4.0,4.0,6.0,9.0,7.0,8.0,10.0,7.0,Slytherin
Half-blood,6.0,9.0,7.0,6.0,1.0,0.0,7.0,8.0,Ravenclaw
Pure-blood,33.80033223408051,3.3004517493641496,8.228745599352498,18.046307055535355,17.24388679686188,47.997892318033344,17.505626542810145,6.16614926101972,Gryffindor
,,,,,,,,,
Pure-blood,2.0,9.0,4.0,2.0,0.0,1.0,3.0,10.0,Ravenclaw
Muggle-born,5.0,8.0,5.0,6.0,4.0,5.0,1.0,10.0,Ravenclaw
,,,,,,,,,
Pure-blood,10.0,1.0,6.0,4.0,5.0,9.0,8.0,5.0,Gryffindor
Pure-blood,3.0,3.0,2.0,10.0,10.0,9.0,9.0,2.0,Slytherin
,,10.0,,,,,,,Ravenclaw
,,6.0,8.0,,0.0,,3.0,,
Half-blood,52.1620323687717,1.4747023381826687,3.0959306389934924,29.23528439019671,0.0,15.893630669932005,28.517378691729867,44.86108973932694,Gryffindor
Muggle-born,3.0,3.0,1.0,7.0,9.0,5.0,8.0,4.0,Slytherin
,,,,,,,,,
Pure-blood,10.0,7.0,6.0,5.0,2.0,9.0,7.0,2.0,Gryffindor
,,,,9.0,,,,,
Muggle-born,3.0,7.0,9.0,2.0,2.0,7.0,2.0,7.0,Hufflepuff
Muggle-born,6.0,3.0,4.0,7.0,10.0,8.0,8.0,7.0,Slytherin
Muggle-born,1.0,3.0,6.0,10.0,7.0,6.0,8.0,4.0,Slytherin
Muggle-born,5.0,5.0,7.0,3.0,4.0,5.0,6.0,4.0,Hufflepuff
Muggle-born,14.76161888988566,11.653371695229746,55.88835983909031,4.138827579691434,17.110430485532408,1.4095814496617043,25.20427388264836,56.15897386704975,Hufflepuff
Pure-blood,,,,,,,,,
Pure-blood,3.0,2.0,8.0,4.0,0.0,3.0,7.0,4.0,Hufflepuff
Pure-blood,2.0,2.0,4.0,8.0,10.0,6.0,8.0,1.0,Slytherin
Half-blood,5.0,7.0,1.0,9.0,7.0,9.0,10.0,5.0,Slytherin
Half-blood,80.43893284542551,16.089564034961064,5.220568117699816,2.9170909515439796,21.830307766380187,10.589588437190667,38.238179327776656,16.749607876711025,Gryffindor
Half-blood,29.779963064356952,10.365292596781346,71.52867070076272,13.923603718445964,4.0777713834240785,22.1641371833937,2.735035739022839,21.986372196773235,Hufflepuff
,,,,,,,,,
Muggle-born,8.0,5.0,7.0,1.0,5.0,10.0,8.0,2.0,Gryffindor
Muggle-born,6.532200764094776,3.6348098090954934,63.14392796281284,37.61882245675992,0.0,47.928895570323505,3.054579847748564,8.430198996060094,Hufflepuff
,,,,,,,,,
Half-blood,13.032797515226706,26.285318463522582,36.52833599266064,14.1095553313426,13.72944673916156,18.363080808899188,2.201546832065402,28.84903313076313,Hufflepuff
,,,,,,9.0,,,
Half-blood,6.740867768743949,18.13331086673264,18.44031811505443,45.6849158493163,0.0,12.710764001640642,95.00376568011222,32.27502262353971,Gryffindor
Muggle-born,7.0,7.0,2.0,10.0,7.0,10.0,7.0,2.0,Slytherin
,,,,,,,,,
Muggle-born,7.0,3.0,5.0,8.0,8.0,7.0,10.0,6.0,Slytherin
Half-blood,7.0,3.0,7.0,3.0,2.0,4.0,5.0,4.0,Hufflepuff
,,,,,,,,,
Half-blood,7.0,10.0,3.0,1.0,2.0,7.0,2.0,10.0,Ravenclaw
Pure-blood,1.0,7.0,9.0,6.0,2.0,1.0,5.0,5.0,Hufflepuff
Half-blood,6.0,8.0,2.0,6.0,4.0,1.0,7.0,8.0,Ravenclaw
Muggle-born,0.999302835763802,8.841251708165133,6.8271757736570695,35.79283452406421,35.5061128144332,72.39258946203311,27.40709666220338,7.4022574796670515,Slytherin
Half-blood,7.0,3.0,9.0,5.0,3.0,5.0,7.0,4.0,Hufflepuff
,,,,,,,,,
Muggle-born,3.0,7.0,9.0,6.0,3.0,7.0,3.0,1.0,Hufflepuff
Half-blood,1.0,6.0,10.0,4.0,1.0,6.0,7.0,5.0,Hufflepuff
,8.0,,,,,,,,Gryffindor
,,2.0,5.0,,,,,,
Muggle-born,12.970093502263303,8.736543503171422,6.7026211321664055,13.040085342441118,4.930505400266969,33.4824833422675,13.681055889661552,25.948519673057298,Slytherin
Muggle-born,4.0,7.0,2.0,4.0,3.0,3.0,1.0,7.0,Ravenclaw
Muggle-born,,,,,,,,,
Half-blood,8.0,3.0,1.0,1.0,4.0,6.0,8.0,6.0,Gryffindor
Pure-blood,7.219550216385613,2.2272029841623677,21.077210739559263,74.10508250672548,12.380495345390704,5.001666673861327,54.647770354323846,48.78591943167971,Slytherin
Half-blood,5.0,3.0,4.0,9.0,7.0,6.0,7.0,3.0,Slytherin
Half-blood,,,,7.0,,5.0,,,Gryffindor
Pure-blood,1.0,9.0,6.0,5.0,0.0,6.0,4.0,9.0,Ravenclaw
,,4.0,,,,,9.0,5.0,
Pure-blood,2.0,7.0,10.0,4.0,4.0,1.0,6.0,7.0,Hufflepuff
Half-blood,5.0,3.0,7.0,3.0,3.0,5.0,6.0,7.0,Hufflepuff
Muggle-born,25.822616171314444,38.20014077192482,1.520886821951292,8.511214568625817,0.0,31.578068417596487,64.24829686776951,38.986187877482,Gryffindor
Pure-blood,4.74260931039517,28.939360260558047,13.370888093196264,62.86111110849269,7.730889993795109,59.42960484341235,78.60043818478074,39.35974644217968,Slytherin
Muggle-born,2.0,1.0,5.0,10.0,7.0,9.0,7.0,1.0,Slytherin
Half-blood,7.0,5.0,1.0,7.0,10.0,10.0,8.0,4.0,Slytherin
,7.0,,,,4.0,,9.0,6.0,
Pure-blood,9.0,7.0,2.0,3.0,1.0,5.0,9.0,6.0,Gryffindor
,,,,,,,,,
Half-blood,5.0,8.0,7.0,6.0,0.0,0.0,1.0,10.0,Ravenclaw
Muggle-born,66.09141250258298,5.61830450735703,55.56600396780365,62.683637996270825,6.43127191490761,56.23595984527679,10.439113106284086,23.047254822611126,Slytherin
Half-blood,6.0,6.0,7.0,3.0,3.0,4.0,4.0,6.0,Hufflepuff
,,,,,,,,,
Muggle-born,33.08666242464691,38.244507064097824,53.899742959787446,24.03924255397346,21.9361104006686,24.411664875881144,26.077371855531368,46.54046772234799,Slytherin
,7.0,5.0,,,,7.0,,,Slytherin
Half-blood,9.0,7.0,7.0,5.0,4.0,7.0,10.0,1.0,Gryffindor
Pure-blood,7.0,8.0,4.0,4.0,5.0,1.0,1.0,8.0,Ravenclaw
Half-blood,3.0,7.0,1.0,7.0,7.0,6.0,10.0,1.0,Slytherin
Pure-blood,60.19824080015249,19.28773511528671,53.361838169929236,4.429495970695714,8.017900284306226,26.869091455248444,6.737765685645655,25.584863983314687,Gryffindor
,,,,,,,,,Slytherin
Pure-blood,5.0,2.0,8.0,5.0,4.0,2.0,1.0,6.0,Hufflepuff
Half-blood,14.479028769638461,9.986668365701972,10.70578735531901,0.7337585796311301,5.243775883570903,97.58698984184701,52.59965774393589,1.4646211265123208,Gryffindor
Half-blood,7.0,9.0,3.0,1.0,0.0,0.0,4.0,9.0,Ravenclaw
Half-blood,4.0,7.0,7.0,6.0,1.0,7.0,3.0,7.0,Ravenclaw
Muggle-born,6.0,5.0,5.0,9.0,10.0,8.0,9.0,5.0,Slytherin
Half-blood,3.0,8.0,7.0,6.0,0.0,2.0,4.0,10.0,Ravenclaw
Pure-blood,10.0,2.0,3.0,3.0,5.0,9.0,8.0,4.0,Gryffindor
,,6.0,4.0,,,,,,
Half-blood,4.0,2.0,9.0,1.0,2.0,1.0,1.0,5.0,Hufflepuff
Muggle-born,9.0,3.0,1.0,4.0,4.0,5.0,9.0,5.0,Gryffindor
Pure-blood,31.439610301703116,40.51073280255985,4.572265495224434,4.365026818662754,0.2016066271885924,7.124524245144638,3.6959121581027636,42.89007666366164,Ravenclaw
Muggle-born,33.26226169388432,55.205535614033444,21.0799693207857,30.82858873575171,12.949578552147099,0.6256185785210323,5.489308027283256,52.64121819401478,Ravenclaw
,,7.0,,,5.0,,,,
Pure-blood,5.0,4.0,8.0,4.0,2.0,5.0,5.0,4.0,Hufflepuff
Muggle-born,8.0,5.0,7.0,1.0,5.0,10.0,8.0,2.0,Gryffindor
,,,,,,,,,
Half-blood,63.442041372112286,26.6115503408507,30.064894118264455,18.163739547530568,29.9730903772104,56.93323754641962,11.4944674371489,20.82668847585443,Slytherin
Half-blood,15.654939074839492,17.99664517012105,9.420062034076746,54.211797259723475,74.92975706231466,56.674984635749105,62.13153984047506,58.051535667714475,Slytherin
Pure-blood,5.0,1.0,10.0,1.0,1.0,2.0,7.0,5.0,Hufflepuff
,,,,,,,,,
Half-blood,34.303033592094245,88.73731532090108,55.380738608256415,26.620636572709977,30.710181569830556,17.06719301132924,0.2217768078376362,19.563902275689873,Ravenclaw
Pure-blood,0.8509572316641445,62.77578177600076,18.92636782174649,11.960740248364377,3.1858727789700305,30.73425738409185,19.739307253157595,81.14811599576063,Ravenclaw
,,,,,,,,,
Pure-blood,4.0,1.0,6.0,9.0,7.0,5.0,10.0,5.0,Slytherin
Pure-blood,5.0,2.0,4.0,10.0,8.0,6.0,8.0,3.0,Slytherin
Pure-blood,27.853683678618637,4.669530267984742,19.546456400531056,15.550896482363987,30.08287613228167,3.203752170580972,51.45070624928182,10.83473044151376,Hufflepuff
Muggle-born,4.637587853846635,25.2423544813232,2.997434411391761,31.19413051062184,89.29815641154352,4.8216110695082675,68.74995053510746,12.903168726447658,Slytherin
Pure-blood,6.0,6.0,7.0,7.0,9.0,5.0,9.0,2.0,Slytherin
Half-blood,4.348492411741869,57.97278049642194,50.680373993703334,43.05966431840755,3.2035201540758522,68.35481672631677,26.566030484716805,53.429688903922994,Ravenclaw
Pure-blood,9.048754998195546,10.530547286857818,17.580755429433957,14.904708950902071,5.600310926730381,44.26743574702314,28.46972374446697,18.286780605610012,Slytherin
Half-blood,2.0,1.0,5.0,7.0,10.0,10.0,8.0,4.0,Slytherin
,,,,,10.0,,,,
,,,,,,,,,
Muggle-born,,,,3.0,,,,,Hufflepuff
Pure-blood,6.0,3.0,8.0,3.0,4.0,0.0,7.0,7.0,Hufflepuff
Half-blood,14.436485010648719,44.235893090406876,78.70247514680624,6.352082041577898,0.7424946499173044,0.0,10.386719892313407,7.5823615223089655,Hufflepuff
Half-blood,7.0,5.0,1.0,10.0,9.0,6.0,8.0,3.0,Slytherin
,,,,,,,,,
,,,,,3.0,,,,
Half-blood,2.0,4.0,3.0,9.0,8.0,6.0,7.0,6.0,Slytherin
Half-blood,,,1.0,,,1.0,,8.0,
Pure-blood,7.0,7.0,4.0,1.0,0.0,6.0,8.0,4.0,Gryffindor
Half-blood,3.340483554172612,4.09243227847851,55.058891535426866,4.754756515478504,25.41396919390434,5.225420393709716,52.76904464688385,0.39637684737092477,Gryffindor
Half-blood,6.0,4.0,10.0,1.0,5.0,3.0,2.0,6.0,Hufflepuff
Half-blood,34.59324894946032,2.9974330052285088,2.89487717321604,59.934386976027405,48.83751695543953,57.20784685388824,41.20820640518915,2.58453654640257,Slytherin
,,,,,,,,,
Muggle-born,1.0,8.0,1.0,2.0,5.0,3.0,5.0,10.0,Ravenclaw
Half-blood,50.84593837279096,33.75505970094843,30.408349154982755,48.48907045853386,0.0,67.37734033357455,32.654671664407054,51.87800372847143,Gryffindor
,1.0,,,,,8.0,7.0,,
Pure-blood,25.891785013700947,9.609378949085016,25.887088454311435,14.522120815103694,18.591875330169387,49.287589054888144,35.148684293613336,10.750002641111912,Hufflepuff
Muggle-born,14.288958080990808,27.7590663932599,9.783882409718164,46.512057984513106,11.034981325142944,10.6567649125665,29.632333767648397,22.101483364169702,Ravenclaw
,,,6.0,,,4.0,2.0,,
,,,,,,,,,
Pure-blood,6.0,10.0,5.0,4.0,2.0,5.0,5.0,8.0,Ravenclaw
,,,,,,,,,
Pure-blood,10.207687272998264,28.406086730199643,33.76196146823487,6.991531530161723,0.0,26.4185948570397,39.0505598959042,5.62779850782636,Gryffindor
,,,,,,,,,
,,,6.0,,,,,,Ravenclaw
Pure-blood,7.0,4.0,4.0,3.0,3.0,8.0,7.0,7.0,Gryffindor
,,2.0,,,,,9.0,,Slytherin
Pure-blood,6.0,4.0,10.0,6.0,3.0,4.0,1.0,1.0,Hufflepuff
,,,,,,,,,
Pure-blood,10.0,3.0,6.0,5.0,2.0,5.0,8.0,7.0,Gryffindor
Pure-blood,2.393621310028559,63.9578948740661,36.74663689825121,10.235052101965913,1.9975018094043162,49.340144775572654,11.34955855733003,23.977010137947737,Hufflepuff
Muggle-born,4.940542996151635,36.06843040514246,41.87776187717631,52.10274135271552,62.70612372904566,31.001585669349655,53.47376067564514,15.83951642640712,Slytherin
Half-blood,4.774552922513273,12.70468874258491,23.503073268003767,21.294943441313677,86.82028737392208,51.17932880422736,52.69019878522474,49.86786331380224,Slytherin
Half-blood,1.0,4.0,10.0,1.0,3.0,4.0,1.0,5.0,Hufflepuff
Muggle-born,3.8250925042951103,2.633833219186066,39.29581107892372,68.73388352828923,7.70086461199884,12.555228662897445,22.63499967339023,10.516277138331972,Ravenclaw
Half-blood,8.0,5.0,1.0,6.0,2.0,10.0,10.0,5.0,Gryffindor
Half-blood,4.0,7.0,1.0,2.0,4.0,0.0,1.0,10.0,Ravenclaw
Muggle-born,7.0,4.0,4.0,8.0,9.0,5.0,9.0,6.0,Slytherin
Half-blood,19.491467030305255,13.542831713176653,3.978966297709576,2.097363580670384,4.941977597199954,24.135822542535006,1.856762742258142,5.01663905299671,Ravenclaw
Half-blood,8.0,4.0,3.0,3.0,5.0,7.0,8.0,2.0,Gryffindor
,3.0,,,,,,,,
,,,,,,,4.0,,
Muggle-born,19.880938931513345,11.593127075915634,70.8483620740772,18.14628031964439,23.329994261884814,34.671052102017946,5.615336832689805,16.181550111898808,Hufflepuff
,,,,,,,,,
Half-blood,3.446945359601337,69.3853975631698,21.714070470612768,15.011573419724613,18.358323767520226,2.676766430425265,65.62556777764101,20.239699434326553,Gryffindor
